Designator,Value,Footprint,Mid X,Mid Y,Rotation,Layer
A1,Pololu_Breakout_DRV8825,Pololu_Breakout-16_15.2x20.3mm,129.9,-64.4,90,top
C1,0.01uF,C_0805_2012Metric,128.9,-70.7,-90,top
C2,1uF,C_0805_2012Metric,130.9,-70.7,-90,top
C3,0.1uF,C_0805_2012Metric,141.2,-131.4,0,top
C4,0.1uF,C_0805_2012Metric,164.9,-108.9,180,top
C5,0.22uF,C_0805_2012Metric,145.6,-116.6,0,top
C6,0.22uF,C_0805_2012Metric,154.3,-131.4,0,top
C7,0.22uF,C_0805_2012Metric,173.1375,-108.9,0,top
C8,470pf,C_0805_2012Metric,154.3,-122.4,180,top
C9,0.1uF,C_0805_2012Metric,141.2,-126.9,0,top
C10,0.1uF,C_0805_2012Metric,141.2,-129.15,0,top
C11,0.1uF,C_0805_2012Metric,141.2,-124.65,0,top
C12,0.22uF,C_0805_2012Metric,154.3,-126.9,0,top
C13,0.22uF,C_0805_2012Metric,154.3,-129.15,0,top
C14,0.22uF,C_0805_2012Metric,154.3,-124.65,0,top
C15,0.01uF,C_0805_2012Metric,193.3,-112.9,0,top
C16,0.1uF,C_0805_2012Metric,196.9,-112.9,180,top
C17,10uF,CP_EIA-7343-31_Kemet-D,192.659,-45.6375,90,top
C18,0.1uF,C_0805_2012Metric,192.3,-51.5,0,top
C19,22uF,C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,175.925,-100.1,0,top
C20,0.1uF,C_0805_2012Metric,187.198,-44.831,0,top
C21,47uF,CP_EIA-3528-21_Kemet-B,186.309,-41.91,0,top
C22,0.1uF,C_0805_2012Metric,188.3,-109.9,-90,top
C23,0.1uF,C_0805_2012Metric,186.2,-109.9,-90,top
C24,0.1uF,C_0805_2012Metric,150.3,-95.5,0,top
C25,1uF,C_0805_2012Metric,153.8,-95.5,180,top
C26,0.1uF,C_0805_2012Metric,150.3,-87,0,top
C27,1uF,C_0805_2012Metric,153.8,-87,180,top
C28,0.1uF,C_0805_2012Metric,199.898,-89.916,90,top
C29,470pf,C_0805_2012Metric,154.3,-120.142,0,top
D1,LED,LED_0805_2012Metric,145.5,-94.2,180,top
D2,LED,LED_0805_2012Metric,145.5,-91.7,180,top
D3,LED,LED_0805_2012Metric,120.7,-93.7,180,top
D4,LED,LED_0805_2012Metric,120.7,-101.5,180,top
D5,D,D_SOD-323,124.2,-93.7,180,top
D6,D,D_SOD-323,124.2,-101.5,180,top
D7,LED,LED_0805_2012Metric,120.7,-83.7,180,top
D8,LED,LED_0805_2012Metric,120.7,-91.5,180,top
D9,LED,LED_0805_2012Metric,145.5,-99.2,180,top
D10,LED,LED_0805_2012Metric,145.5,-96.7,180,top
D11,D,D_SOD-323,124.2,-83.7,180,top
D12,D,D_SOD-323,124.2,-91.5,180,top
D13,D_Zener,D_SOD-323,191.9,-109,180,top
D14,B130-13-F,D_SMA,186.5,-48.75,0,top
D15,1SMB5919BT3G,D_SMB,186.5,-53,0,top
D16,D,D_SOD-323,143.6,-81.2,180,top
D17,D,D_SOD-323,143.6,-83.2,180,top
D18,D,D_SOD-323,139.4,-83.2,180,top
D19,D,D_SOD-323,139.4,-81.2,180,top
D20,D_Zener,D_SOD-323,168,-117.5,0,top
F1,Polyfuse,Fuse_1812_4532Metric,151.892,-115.57,180,top
F2,Polyfuse,Fuse_1812_4532Metric,187.706,-90.17,0,top
IC3,Trig Cond Socket,DIP-8_W7.62mm_Socket,193,-123.5,90,top
J1,Conn_01x05,PinHeader_1x05_P2.54mm_Vertical,198.255,-81.4,180,top
J2,Conn_01x06,PinHeader_1x06_P2.54mm_Vertical,148.48,-45.9,90,top
J3,Conn_01x02,"TerminalBlock_Phoenix_PT-1,5-2-5.0-H_1x02_P5.00mm_Horizontal",205,-49,90,top
J4,Conn_02x20_Counter_Clockwise,IDC-Header_2x20_P2.54mm_Vertical,130.5,-79.74,0,top
J5,Conn_01x04,PinHeader_1x04_P2.54mm_Vertical,198.255,-68.7,180,top
J6,Conn_01x05,PinHeader_1x05_P2.54mm_Vertical,185.555,-61.08,90,top
J7,Conn_01x05,PinHeader_1x05_P2.54mm_Vertical,121.412,-112.776,0,top
J8,Conn_01x03,PinHeader_1x03_P2.54mm_Vertical,177.935,-61.08,90,top
JP1,Ignition Voltage,PinHeader_1x03_P2.54mm_Vertical,158.1,-97.6,180,top
JP2,VR-HALL,PinHeader_1x03_P2.54mm_Vertical,180.9,-113.4,0,top
JP3,VR-HALL,PinHeader_1x03_P2.54mm_Vertical,180.9,-123.4,0,top
JP4,PULL-UP,PinHeader_1x02_P2.54mm_Vertical,177.2,-113.4,0,top
JP5,PULL-UP,PinHeader_1x02_P2.54mm_Vertical,177.2,-123.4,0,top
Q1,SSM3K357R,SOT-23,153.1,-110.3,-90,top
Q2,SSM3K357R,SOT-23,145.9,-110.3,-90,top
Q3,SSM3K357R,SOT-23,149.5,-110.3,-90,top
R1,100k,R_0805_2012Metric,131.4625,-43.942,0,top
R2,100k,R_0805_2012Metric,131.5,-41.656,180,top
R3,100k,R_0805_2012Metric,179.8,-91.2,0,top
R4,100k,R_0805_2012Metric,179.8,-94,180,top
R5,1k,R_0805_2012Metric,127.8,-43.942,0,top
R6,1k,R_0805_2012Metric,127.8,-41.656,0,top
R7,1k,R_0805_2012Metric,161.9,-92.5,0,top
R8,1k,R_0805_2012Metric,161.9,-90.5,0,top
R9,2.4k,R_0805_2012Metric,117.2,-93.7,180,top
R10,2.4k,R_0805_2012Metric,117.2,-101.5,180,top
R11,2.4k,R_0805_2012Metric,142,-94.2,0,top
R12,2.4k,R_0805_2012Metric,142,-91.7,0,top
R13,10R,R_0805_2012Metric,138.5,-94.2,0,top
R14,10R,R_0805_2012Metric,138.5,-91.7,0,top
R15,100k,R_0805_2012Metric,131.5,-48.514,0,top
R16,100k,R_0805_2012Metric,131.5,-46.228,180,top
R17,1k,R_0805_2012Metric,127.8,-48.514,0,top
R18,1k,R_0805_2012Metric,127.8,-46.228,0,top
R19,100k,R_0805_2012Metric,187.6625,-94,0,top
R20,100k,R_0805_2012Metric,179.8,-96.7,180,top
R21,1k,R_0805_2012Metric,161.9,-101,0,top
R22,1k,R_0805_2012Metric,161.9,-99,0,top
R23,2.4k,R_0805_2012Metric,120.7,-81.5,180,top
R24,2.4k,R_0805_2012Metric,117.2,-91.5,180,top
R25,2.4k,R_0805_2012Metric,142,-99.2,0,top
R26,2.4k,R_0805_2012Metric,142,-96.7,0,top
R27,10R,R_0805_2012Metric,138.5,-99.2,0,top
R28,10R,R_0805_2012Metric,138.5,-96.7,0,top
R29,1k,R_0805_2012Metric,164.9,-110.9,0,top
R30,3.9k,R_0805_2012Metric,157.9,-110.3,90,top
R31,470R,R_0805_2012Metric,148.2,-131.4,180,top
R32,470R,R_0805_2012Metric,168.4,-108.9,180,top
R33,2.4k,R_0805_2012Metric,145.6,-118.7,180,top
R34,470R,R_0805_2012Metric,148.2,-122.4,180,top
R35,2.49k,R_0805_2012Metric,144.7,-129.15,0,top
R36,2.49k,R_0805_2012Metric,144.7,-124.65,0,top
R37,1k,R_0805_2012Metric,172.1,-115,-90,top
R38,470R,R_0805_2012Metric,148.2,-126.9,180,top
R39,470R,R_0805_2012Metric,148.2,-129.15,180,top
R40,470R,R_0805_2012Metric,148.2,-124.65,180,top
R41,1k,R_0805_2012Metric,174.2,-115,90,top
R42,1k,R_0805_2012Metric,174.2,-125,90,top
R43,220R,R_0805_2012Metric,185.8,-116.8,180,top
R44,220R,R_0805_2012Metric,185.8,-125.1,180,top
R45,10k,R_0805_2012Metric,168.9,-100.1,0,top
R46,120R,R_0805_2012Metric,172.3375,-100.1,180,top
R47,1k,R_0805_2012Metric,151,-70,90,top
R48,1k,R_0805_2012Metric,153.1,-70,90,top
R49,100k,R_0805_2012Metric,155.7,-52.6,90,top
R50,100k,R_0805_2012Metric,157.8,-52.6,-90,top
R51,10k,R_0805_2012Metric,155.9,-110.3,90,top
R52,2k,R_0805_2012Metric,151.4,-48.8,180,top
R53,1k,R_0805_2012Metric,155,-48.8,180,top
R54,1k,R_0805_2012Metric,195.834,-90.678,180,top
R55,470R,R_0805_2012Metric,158.242,-120.142,180,top
R56,1k,R_0805_2012Metric,148.9,-70,90,top
R57,1k,R_0805_2012Metric,146.8,-70,90,top
R60,100k,R_0805_2012Metric,159.9,-52.6,90,top
R61,100k,R_0805_2012Metric,162,-52.6,-90,top
